SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,Repetition
Aug_S_1_S_12_so_R2,August,Bog,1,S,2012,solid,2
Aug_S_1_S_12_so_R1,August,Bog,1,S,2012,solid,1
Aug_S_1_M_12_so_R1,August,Bog,1,M,2012,solid,1
Aug_S_1_D_12_so_R1,August,Bog,1,D,2012,solid,1
Aug_S_2_M_12_so_R1,August,Bog,2,M,2012,solid,1
Aug_S_2_D_12_so_R2,August,Bog,2,D,2012,solid,2
Aug_S_2_D_12_so_R1,August,Bog,2,D,2012,solid,1
Aug_S_3_S_12_so_R1,August,Bog,3,S,2012,solid,1
Aug_E_1_S_12_so_R1,August,Fen,1,S,2012,solid,1
Aug_E_1_M_12_so_R1,August,Fen,1,M,2012,solid,1
Aug_E_1_D_12_so_R1,August,Fen,1,D,2012,solid,1
Aug_E_2_S_12_so_R1,August,Fen,2,S,2012,solid,1
Aug_E_2_M_12_so_R1,August,Fen,2,M,2012,solid,1
Aug_E_2_D_12_so_R1,August,Fen,2,D,2012,solid,1
Aug_E_3_S_12_so_R1,August,Fen,3,S,2012,solid,1
Aug_E_3_M_12_so_R2,August,Fen,3,M,2012,solid,2
Aug_E_3_M_12_so_R1,August,Fen,3,M,2012,solid,1
